101630903,2021,19537099,20138253,95,15.3,60804,4.4
101630903,2022,20373513,20954420,94,15.1,60938,4.4
101631003,2017,19271274,19032276,102,15.7,62092,4.3
101631003,2018,21189857,19688861,104,17.2,64249,4.3
101631003,2019,21731821,19902431,102,18.4,65743,4.3
101631003,2020,20517448,20110125,93,19.2,66087,4.3
101631003,2021,21079179,20702044,91,19.1,67601,4.3
101631003,2022,-1,-1,88,19.0,66586,4.2
101631203,2017,20529181,19259821,111,14.9,54761,4.6
101631203,2018,19515670,22349548,110,15.2,57282,4.6
101631203,2019,20984112,20687642,109,15.8,59505,4.6
101631203,2020,21251320,23082011,106,16.4,61924,4.6
101631203,2021,21161478,21234743,106,17.2,64522,4.6
101631203,2022,23338890,21950635,104,17.9,67004,4.6
101631503,2017,13458575,14698829,73,16.2,58361,4.6
101631503,2018,16507429,16284831,75,16.0,59057,4.6
101631503,2019,16586590,15648479,75,16.6,61375,4.6
101631503,2020,15379068,15772252,72,15.9,59746,4.5
101631503,2021,15778043,15955253,69,16.6,63287,4.5
101631503,2022,16380812,17650728,72,15.2,59366,4.5
101631703,2017,79666956,80495212,364,14.1,62163,4.5
101631703,2018,88129768,83878596,362,14.9,64073,4.6
101631703,2019,85105547,87529444,366,15.4,65760,4.6
101631703,2020,89164991,92534322,368,15.0,65996,4.6
101631703,2021,96281187,95817171,368,15.2,67280,4.6
101631703,2022,101299265,101898056,373,15.4,68792,4.6
101631803,2017,23529850,23387516,126,14.8,57990,4.5
101631803,2018,23652868,24898437,127,15.3,60412,4.5
101631803,2019,24162163,25655643,125,15.7,62454,4.6
101631803,2020,25102559,25918150,124,16.4,65464,4.6
101631803,2021,26016679,27359956,117,16.1,69222,4.6
101631803,2022,28067505,29617432,119,16.7,71813,4.6
101631903,2017,17653905,18320968,87,15.1,58950,4.5
101631903,2018,18577592,19041960,90,15.1,60406,4.5
101631903,2019,19489711,19659362,91,15.0,61301,4.5
101631903,2020,19825993,20513596,91,15.7,64473,4.5
101631903,2021,20273053,21826775,87,16.9,66995,4.5
101631903,2022,22483076,22692823,89,17.0,69157,4.6
101632403,2017,17928946,17928947,95,16.0,60934,4.4
101632403,2018,17780730,18031565,88,16.5,61447,4.4
101632403,2019,18549574,18757803,87,16.3,62275,4.4
101632403,2020,19015795,19236625,87,16.8,64391,4.4
101632403,2021,19879949,20127962,87,15.0,62544,4.5
101632403,2022,19473769,20723812,89,14.8,62920,4.5
101633903,2017,32021638,31401722,154,13.7,59555,4.5
101633903,2018,30748968,31975868,146,14.7,59453,4.6
101633903,2019,30760009,31392467,147,13.9,60789,4.6
101633903,2020,30885602,30968712,152,14.1,61353,4.6
101633903,2021,32337987,32232667,144,14.3,62096,4.6
101633903,2022,33099895,33626968,144,14.2,63510,4.6
101634207,2017,3328440,3376618,18,10.4,61755,3.7
101634207,2018,3321275,3343351,15,11.3,65201,3.7
101634207,2019,3457816,3515420,16,12.7,62331,3.8
101634207,2020,3635279,3690349,19,12.2,63618,3.8
101634207,2021,3837526,3889966,19,12.7,63677,3.7
101634207,2022,3622650,3657068,19,10.0,62936,3.8
101636503,2017,61677978,61929278,301,14.4,75872,4.6
101636503,2018,64236649,64361141,298,15.0,77566,4.6
101636503,2019,66303956,66333500,297,15.6,79385,4.6
101636503,2020,68248154,68297313,302,16.0,80617,4.6
101636503,2021,70824939,70851945,292,16.9,85857,4.6
101636503,2022,75094805,74587592,300,17.5,87677,4.6
101637002,2017,43523847,44594053,232,10.8,50819,4.5
101637002,2018,46277386,46366870,229,11.8,51063,4.5
101637002,2019,46817783,46891473,235,12.2,54820,4.4
101637002,2020,47697914,47713571,239,12.4,56489,4.5
101637002,2021,48274048,48374755,225,13.2,57540,4.5
101637002,2022,49903609,49983078,224,13.5,59873,4.5
101638003,2017,53924116,54193639,265,14.9,66117,4.5
101638003,2018,56643671,59473397,266,14.8,68419,4.5
101638003,2019,59724533,60319406,270,14.6,68276,4.5
101638003,2020,59474125,60759826,279,13.5,67975,4.5
101638003,2021,60824972,63505606,282,13.5,68325,4.5
101638003,2022,64752069,65230571,288,13.5,69244,4.5
101638803,2017,29026960,29279371,144,13.3,54841,4.4
101638803,2018,28126893,28367493,138,14.3,55790,4.4
101638803,2019,29400929,29270153,136,14.6,56908,4.6
101638803,2020,29943477,29845691,137,14.8,58228,4.6
101638803,2021,30315107,30976938,138,14.7,59215,4.6
101638803,2022,32367477,31553683,137,14.2,59998,4.6
101638907,2017,4995014,5247420,20,12.5,63628,3.7
101638907,2018,5339875,5673362,19,13.7,65448,3.7
101638907,2019,5434352,5497690,19,12.6,66243,3.7
101638907,2020,5340364,5236310,20,11.7,64567,3.8
101638907,2021,5284224,5211511,22,11.7,65013,3.6
101638907,2022,5370510,5575708,21,11.9,66676,3.7
