AUN,School Number,School Name
103022103,8087,CORNELL HS
103022103,8087,CORNELL HS
103022103,8087,CORNELL HS
103022103,8087,CORNELL HS
103022103,8087,CORNELL HS
103022253,513,DEER LAKES HS
103022253,513,DEER LAKES HS
103022253,513,DEER LAKES HS
103022253,513,DEER LAKES HS
103022253,513,DEER LAKES HS
103022253,513,DEER LAKES HS
103022253,513,DEER LAKES HS
103022253,513,DEER LAKES HS
103022803,8340,EAST ALLEGHENY JSHS
103022803,8340,EAST ALLEGHENY JSHS
103022803,8340,EAST ALLEGHENY JSHS
103022803,8340,EAST ALLEGHENY JSHS
103022803,8340,EAST ALLEGHENY JSHS
103022803,8340,EAST ALLEGHENY JSHS
103022803,8340,EAST ALLEGHENY JSHS
103022803,8340,EAST ALLEGHENY JSHS
103022803,8340,EAST ALLEGHENY JSHS
103023153,144,ELIZABETH FORWARD SHS
103023153,144,ELIZABETH FORWARD SHS
103023153,144,ELIZABETH FORWARD SHS
103023153,144,ELIZABETH FORWARD SHS
103023153,144,ELIZABETH FORWARD SHS
103023153,144,ELIZABETH FORWARD SHS
103023153,144,ELIZABETH FORWARD SHS
103023153,144,ELIZABETH FORWARD SHS
103023153,144,ELIZABETH FORWARD SHS
103023807,5016,FORBES ROAD CTC
103023807,5016,FORBES ROAD CTC
103023807,5016,FORBES ROAD CTC
103023807,5016,FORBES ROAD CTC
103023807,5016,FORBES ROAD CTC
103023807,5016,FORBES ROAD CTC
103023807,5016,FORBES ROAD CTC
103023807,5016,FORBES ROAD CTC
103023807,5016,FORBES ROAD CTC
103023912,156,FOX CHAPEL AREA HS
103023912,156,FOX CHAPEL AREA HS
103023912,156,FOX CHAPEL AREA HS
103023912,156,FOX CHAPEL AREA HS
103023912,156,FOX CHAPEL AREA HS
103023912,156,FOX CHAPEL AREA HS
103023912,156,FOX CHAPEL AREA HS
103023912,156,FOX CHAPEL AREA HS
103023912,156,FOX CHAPEL AREA HS
103023912,156,FOX CHAPEL AREA HS
103023912,156,FOX CHAPEL AREA HS
103023912,156,FOX CHAPEL AREA HS
103024102,170,GATEWAY SHS
103024102,170,GATEWAY SHS
103024102,170,GATEWAY SHS
103024102,170,GATEWAY SHS
103024102,170,GATEWAY SHS
103024102,170,GATEWAY SHS
103024102,170,GATEWAY SHS
103024102,170,GATEWAY SHS
103024102,170,GATEWAY SHS
103024102,170,GATEWAY SHS
103024102,170,GATEWAY SHS
103024102,170,GATEWAY SHS
103024603,5190,HAMPTON HS
103024603,5190,HAMPTON HS
103024603,5190,HAMPTON HS
103024603,5190,HAMPTON HS
103024603,5190,HAMPTON HS
103024603,5190,HAMPTON HS
103024603,5190,HAMPTON HS
103024603,5190,HAMPTON HS
103024603,5190,HAMPTON HS
103024753,5153,HIGHLANDS SHS
103024753,5153,HIGHLANDS SHS
103024753,5153,HIGHLANDS SHS
103024753,5153,HIGHLANDS SHS
103024753,5153,HIGHLANDS SHS
103024753,5153,HIGHLANDS SHS
103024753,5153,HIGHLANDS SHS
103024753,5153,HIGHLANDS SHS
103024753,5153,HIGHLANDS SHS
103025002,5112,KEYSTONE OAKS HS
103025002,5112,KEYSTONE OAKS HS
103025002,5112,KEYSTONE OAKS HS
103025002,5112,KEYSTONE OAKS HS
103025002,5112,KEYSTONE OAKS HS
103025002,5112,KEYSTONE OAKS HS
103025002,5112,KEYSTONE OAKS HS
103025002,5112,KEYSTONE OAKS HS
103025002,5112,KEYSTONE OAKS HS
103025002,5112,KEYSTONE OAKS HS
103025002,5112,KEYSTONE OAKS HS
103025002,5112,KEYSTONE OAKS HS
103026002,6105,MCKEESPORT AREA SHS
103026002,6105,MCKEESPORT AREA SHS
103026002,6105,MCKEESPORT AREA SHS
103026002,6105,MCKEESPORT AREA SHS
103026002,6105,MCKEESPORT AREA SHS
103026002,6105,MCKEESPORT AREA SHS
103026002,6105,MCKEESPORT AREA SHS
103026002,6105,MCKEESPORT AREA SHS
103026002,6105,MCKEESPORT AREA SHS
103026002,6105,MCKEESPORT AREA SHS
103026002,6105,MCKEESPORT AREA SHS
103026303,5017,MONTOUR HS
103026303,5017,MONTOUR HS
103026303,5017,MONTOUR HS
103026303,5017,MONTOUR HS
103026303,5017,MONTOUR HS
103026303,5017,MONTOUR HS
103026303,5017,MONTOUR HS
103026303,5017,MONTOUR HS
103026303,5017,MONTOUR HS
103026343,4951,MOON SHS
103026343,4951,MOON SHS
103026343,4951,MOON SHS
103026343,4951,MOON SHS
103026343,4951,MOON SHS
103026343,4951,MOON SHS
103026343,4951,MOON SHS
103026343,4951,MOON SHS
103026343,4951,MOON SHS
103026343,4951,MOON SHS
103026343,4951,MOON SHS
103026343,4951,MOON SHS
103026402,254,MT LEBANON SHS
103026402,254,MT LEBANON SHS
103026402,254,MT LEBANON SHS
103026402,254,MT LEBANON SHS
103026402,254,MT LEBANON SHS
103026402,254,MT LEBANON SHS
103026402,254,MT LEBANON SHS
103026402,254,MT LEBANON SHS
103026402,254,MT LEBANON SHS
103026402,254,MT LEBANON SHS
103026402,254,MT LEBANON SHS
103026402,254,MT LEBANON SHS
103026852,8305,NORTH ALLEGHENY HS
103026852,8305,NORTH ALLEGHENY HS
103026852,8305,NORTH ALLEGHENY HS
103026852,8305,NORTH ALLEGHENY HS
103026852,8305,NORTH ALLEGHENY HS
103026852,8305,NORTH ALLEGHENY HS
103026852,8305,NORTH ALLEGHENY HS
103026852,8305,NORTH ALLEGHENY HS
103026852,8305,NORTH ALLEGHENY HS
103026852,8305,NORTH ALLEGHENY HS
103026852,8305,NORTH ALLEGHENY HS
103026902,7101,NORTH HILLS SHS
103026902,7101,NORTH HILLS SHS
103026902,7101,NORTH HILLS SHS
103026902,7101,NORTH HILLS SHS
103026902,7101,NORTH HILLS SHS
103026902,7101,NORTH HILLS SHS
103026902,7101,NORTH HILLS SHS
103026902,7101,NORTH HILLS SHS
103026902,7101,NORTH HILLS SHS
103026902,7101,NORTH HILLS SHS
103026902,7101,NORTH HILLS SHS
103026873,53,NORTHGATE MSHS
103026873,53,NORTHGATE MSHS
103026873,53,NORTHGATE MSHS
103026873,53,NORTHGATE MSHS
103026873,53,NORTHGATE MSHS
103026873,53,NORTHGATE MSHS
103026873,53,NORTHGATE MSHS
103026873,53,NORTHGATE MSHS
103026873,53,NORTHGATE MSHS
103026873,53,NORTHGATE MSHS
103026873,53,NORTHGATE MSHS
103027307,5274,PARKWAY WEST CTC
103027307,5274,PARKWAY WEST CTC
103027307,5274,PARKWAY WEST CTC
103027307,5274,PARKWAY WEST CTC
103027307,5274,PARKWAY WEST CTC
103027307,5274,PARKWAY WEST CTC
103027307,5274,PARKWAY WEST CTC
102023217,8308,PASSPORT ACADEMY CS
102023217,8308,PASSPORT ACADEMY CS
102023217,8308,PASSPORT ACADEMY CS
102023217,8308,PASSPORT ACADEMY CS
102023217,8308,PASSPORT ACADEMY CS
102023217,8308,PASSPORT ACADEMY CS
102023217,8308,PASSPORT ACADEMY CS
102023217,8308,PASSPORT ACADEMY CS
102023217,8308,PASSPORT ACADEMY CS
103027352,309,PENN HILLS SHS
103027352,309,PENN HILLS SHS
103027352,309,PENN HILLS SHS
103027352,309,PENN HILLS SHS
103027352,309,PENN HILLS SHS
103027352,309,PENN HILLS SHS
103027352,309,PENN HILLS SHS
103027352,309,PENN HILLS SHS
103027352,309,PENN HILLS SHS
103027352,309,PENN HILLS SHS
103027352,309,PENN HILLS SHS
115220003,7821,PENNSYLVANIA DISTANCE LEARNING CS
115220003,7821,PENNSYLVANIA DISTANCE LEARNING CS
115220003,7821,PENNSYLVANIA DISTANCE LEARNING CS
115220003,7821,PENNSYLVANIA DISTANCE LEARNING CS
115220003,7821,PENNSYLVANIA DISTANCE LEARNING CS
115220003,7821,PENNSYLVANIA DISTANCE LEARNING CS
115220003,7821,PENNSYLVANIA DISTANCE LEARNING CS
115220003,7821,PENNSYLVANIA DISTANCE LEARNING CS
115220003,7821,PENNSYLVANIA DISTANCE LEARNING CS
115220003,7821,PENNSYLVANIA DISTANCE LEARNING CS
115220003,7821,PENNSYLVANIA DISTANCE LEARNING CS
115220003,7821,PENNSYLVANIA DISTANCE LEARNING CS
103021003,315,PINE-RICHLAND HS
103021003,315,PINE-RICHLAND HS
103021003,315,PINE-RICHLAND HS
103021003,315,PINE-RICHLAND HS
103021003,315,PINE-RICHLAND HS
103021003,315,PINE-RICHLAND HS
103021003,315,PINE-RICHLAND HS
103021003,315,PINE-RICHLAND HS
103021003,315,PINE-RICHLAND HS
103021003,315,PINE-RICHLAND HS
103021003,315,PINE-RICHLAND HS
102027451,8203,ACADEMY AT WESTINGHOUSE
102027451,8203,ACADEMY AT WESTINGHOUSE
102027451,8203,ACADEMY AT WESTINGHOUSE
102027451,8203,ACADEMY AT WESTINGHOUSE
102027451,8203,ACADEMY AT WESTINGHOUSE
102027451,8203,ACADEMY AT WESTINGHOUSE
102027451,8203,ACADEMY AT WESTINGHOUSE
102027451,8203,ACADEMY AT WESTINGHOUSE
102027451,8203,ACADEMY AT WESTINGHOUSE
102027451,409,PITTSBURGH ALLDERDICE HS
102027451,409,PITTSBURGH ALLDERDICE HS
102027451,409,PITTSBURGH ALLDERDICE HS
102027451,409,PITTSBURGH ALLDERDICE HS
102027451,409,PITTSBURGH ALLDERDICE HS
102027451,409,PITTSBURGH ALLDERDICE HS
102027451,409,PITTSBURGH ALLDERDICE HS
102027451,409,PITTSBURGH ALLDERDICE HS
102027451,409,PITTSBURGH ALLDERDICE HS
102027451,409,PITTSBURGH ALLDERDICE HS
102027451,409,PITTSBURGH ALLDERDICE HS
102027451,409,PITTSBURGH ALLDERDICE HS
102027451,6915,PITTSBURGH BRASHEAR HS
102027451,6915,PITTSBURGH BRASHEAR HS
102027451,6915,PITTSBURGH BRASHEAR HS
102027451,6915,PITTSBURGH BRASHEAR HS
102027451,6915,PITTSBURGH BRASHEAR HS
102027451,6915,PITTSBURGH BRASHEAR HS
102027451,6915,PITTSBURGH BRASHEAR HS
102027451,6915,PITTSBURGH BRASHEAR HS
102027451,6915,PITTSBURGH BRASHEAR HS
102027451,6915,PITTSBURGH BRASHEAR HS
102027451,6915,PITTSBURGH BRASHEAR HS
102027451,6915,PITTSBURGH BRASHEAR HS
102027451,8106,PITTSBURGH CAPA 6-12
102027451,8106,PITTSBURGH CAPA 6-12
102027451,8106,PITTSBURGH CAPA 6-12
102027451,8106,PITTSBURGH CAPA 6-12
102027451,8106,PITTSBURGH CAPA 6-12
102027451,8106,PITTSBURGH CAPA 6-12
102027451,8106,PITTSBURGH CAPA 6-12
102027451,412,PITTSBURGH CARRICK HS
102027451,412,PITTSBURGH CARRICK HS
102027451,412,PITTSBURGH CARRICK HS
102027451,412,PITTSBURGH CARRICK HS
102027451,412,PITTSBURGH CARRICK HS
102027451,412,PITTSBURGH CARRICK HS
102027451,412,PITTSBURGH CARRICK HS
102027451,412,PITTSBURGH CARRICK HS
102027451,412,PITTSBURGH CARRICK HS
102027451,412,PITTSBURGH CARRICK HS
102027451,8110,PITTSBURGH MILLIONES 6-12
102027451,8110,PITTSBURGH MILLIONES 6-12
102027451,8110,PITTSBURGH MILLIONES 6-12
102027451,8110,PITTSBURGH MILLIONES 6-12
102027451,8110,PITTSBURGH MILLIONES 6-12
