AUN,School Number,School Name
101260303,4921,SMITHFIELD EL SCH
101260303,4921,SMITHFIELD EL SCH
101260303,4921,SMITHFIELD EL SCH
101260303,4921,SMITHFIELD EL SCH
101260303,4922,FRIENDSHIP HILL EL SCH
101260303,4922,FRIENDSHIP HILL EL SCH
101260303,4922,FRIENDSHIP HILL EL SCH
101260303,4922,FRIENDSHIP HILL EL SCH
101260303,4922,FRIENDSHIP HILL EL SCH
101260303,4922,FRIENDSHIP HILL EL SCH
101260303,4922,FRIENDSHIP HILL EL SCH
101260303,4922,FRIENDSHIP HILL EL SCH
101260303,4922,FRIENDSHIP HILL EL SCH
101260303,4922,FRIENDSHIP HILL EL SCH
101260303,4922,FRIENDSHIP HILL EL SCH
101260303,4922,FRIENDSHIP HILL EL SCH
101260303,4922,FRIENDSHIP HILL EL SCH
101260303,4922,FRIENDSHIP HILL EL SCH
101260303,4922,FRIENDSHIP HILL EL SCH
101260303,4922,FRIENDSHIP HILL EL SCH
101260303,4922,FRIENDSHIP HILL EL SCH
101260303,4922,FRIENDSHIP HILL EL SCH
101260303,4922,FRIENDSHIP HILL EL SCH
101260303,4922,FRIENDSHIP HILL EL SCH
101260303,4922,FRIENDSHIP HILL EL SCH
101260303,4922,FRIENDSHIP HILL EL SCH
101260303,4922,FRIENDSHIP HILL EL SCH
101260303,4922,FRIENDSHIP HILL EL SCH
101260303,4922,FRIENDSHIP HILL EL SCH
101260303,4922,FRIENDSHIP HILL EL SCH
101260303,4922,FRIENDSHIP HILL EL SCH
101260303,4922,FRIENDSHIP HILL EL SCH
101260303,4922,FRIENDSHIP HILL EL SCH
101260303,4922,FRIENDSHIP HILL EL SCH
101260303,6002,MASONTOWN EL SCH
101260303,6002,MASONTOWN EL SCH
101260303,6002,MASONTOWN EL SCH
101260303,6002,MASONTOWN EL SCH
101260303,6002,MASONTOWN EL SCH
101260303,6002,MASONTOWN EL SCH
101260303,6002,MASONTOWN EL SCH
101260303,6002,MASONTOWN EL SCH
101260303,6002,MASONTOWN EL SCH
101260303,6002,MASONTOWN EL SCH
101260303,6002,MASONTOWN EL SCH
101260303,6002,MASONTOWN EL SCH
101260303,6002,MASONTOWN EL SCH
101260303,6002,MASONTOWN EL SCH
101260303,6002,MASONTOWN EL SCH
101260303,6002,MASONTOWN EL SCH
101260303,6002,MASONTOWN EL SCH
101260303,6002,MASONTOWN EL SCH
101260303,6002,MASONTOWN EL SCH
101260303,6002,MASONTOWN EL SCH
101260303,6002,MASONTOWN EL SCH
101260303,6002,MASONTOWN EL SCH
101260303,6002,MASONTOWN EL SCH
101260303,6002,MASONTOWN EL SCH
101260303,6002,MASONTOWN EL SCH
101260303,6002,MASONTOWN EL SCH
101260303,6002,MASONTOWN EL SCH
101260303,6002,MASONTOWN EL SCH
101260303,6002,MASONTOWN EL SCH
101260303,6002,MASONTOWN EL SCH
101260303,7607,ALBERT GALLATIN NORTH MS
101260303,7607,ALBERT GALLATIN NORTH MS
101260303,7607,ALBERT GALLATIN NORTH MS
101260303,7607,ALBERT GALLATIN NORTH MS
101260303,7607,ALBERT GALLATIN NORTH MS
101260303,7607,ALBERT GALLATIN NORTH MS
101260303,7607,ALBERT GALLATIN NORTH MS
101260303,7607,ALBERT GALLATIN NORTH MS
101260303,7607,ALBERT GALLATIN NORTH MS
101260303,7607,ALBERT GALLATIN NORTH MS
101260303,7607,ALBERT GALLATIN NORTH MS
101260303,7607,ALBERT GALLATIN NORTH MS
101260303,7607,ALBERT GALLATIN NORTH MS
101260303,7607,ALBERT GALLATIN NORTH MS
101260303,7607,ALBERT GALLATIN NORTH MS
101260303,7607,ALBERT GALLATIN NORTH MS
101260303,7607,ALBERT GALLATIN NORTH MS
101260303,7607,ALBERT GALLATIN NORTH MS
101260303,7607,ALBERT GALLATIN NORTH MS
101260303,7607,ALBERT GALLATIN NORTH MS
101260303,7607,ALBERT GALLATIN NORTH MS
101260303,7607,ALBERT GALLATIN NORTH MS
101260303,7607,ALBERT GALLATIN NORTH MS
101260303,7607,ALBERT GALLATIN NORTH MS
101260303,7607,ALBERT GALLATIN NORTH MS
101260303,7607,ALBERT GALLATIN NORTH MS
101260303,7607,ALBERT GALLATIN NORTH MS
101260303,7607,ALBERT GALLATIN NORTH MS
101260303,7607,ALBERT GALLATIN NORTH MS
101260303,7607,ALBERT GALLATIN NORTH MS
101260303,7608,ALBERT GALLATIN SOUTH MS
101260303,7608,ALBERT GALLATIN SOUTH MS
101260303,7608,ALBERT GALLATIN SOUTH MS
101260303,7608,ALBERT GALLATIN SOUTH MS
101260303,7608,ALBERT GALLATIN SOUTH MS
101260303,7608,ALBERT GALLATIN SOUTH MS
101260303,7608,ALBERT GALLATIN SOUTH MS
101260303,7608,ALBERT GALLATIN SOUTH MS
101260303,7608,ALBERT GALLATIN SOUTH MS
101260303,7608,ALBERT GALLATIN SOUTH MS
101260303,7608,ALBERT GALLATIN SOUTH MS
101260303,7608,ALBERT GALLATIN SOUTH MS
101260303,7608,ALBERT GALLATIN SOUTH MS
101260303,7608,ALBERT GALLATIN SOUTH MS
101260303,7608,ALBERT GALLATIN SOUTH MS
101260303,7608,ALBERT GALLATIN SOUTH MS
101260303,7608,ALBERT GALLATIN SOUTH MS
101260303,7608,ALBERT GALLATIN SOUTH MS
101260303,7608,ALBERT GALLATIN SOUTH MS
101260303,7608,ALBERT GALLATIN SOUTH MS
101260303,7608,ALBERT GALLATIN SOUTH MS
